character,in_degree,out_degree,undirected_degree,total_directed_degree,link_balance,incoming_share
Spider-Man,106,9,106,115,97,0.9217391304347826
Hulk,64,10,65,74,54,0.8648648648648649
Wolverine_(character),60,17,63,77,43,0.7792207792207793
Doctor_Strange,50,17,57,67,33,0.746268656716418
Deadpool,33,19,41,52,14,0.6346153846153846
She-Hulk,29,20,37,49,9,0.5918367346938775
Phoenix_Force,24,17,32,41,7,0.5853658536585366
Scarlet_Witch,28,14,32,42,14,0.6666666666666666
Black_Panther_(character),27,11,31,38,16,0.7105263157894737
Venom_(character),17,21,29,38,-4,0.4473684210526316
Betsy_Braddock,7,28,28,35,-21,0.2
Cloak_and_Dagger_(characters),11,24,28,35,-13,0.3142857142857143
Black_Cat_(Marvel_Comics),21,14,28,35,7,0.6
Luke_Cage,25,9,28,34,16,0.7352941176470589
Moon_Knight,22,14,27,36,8,0.6111111111111112
Storm_(Marvel_Comics),20,16,27,36,4,0.5555555555555556
Emma_Frost,21,17,27,38,4,0.5526315789473685
Hank_Pym,24,8,27,32,16,0.75
Hercules_(Marvel_Comics),19,17,26,36,2,0.5277777777777778
Iron_Fist_(character),21,16,26,37,5,0.5675675675675675
Cyclops_(Marvel_Comics),26,11,26,37,15,0.7027027027027027
Adam_Warlock,8,22,25,30,-14,0.26666666666666666
Black_Widow_(Natasha_Romanova),22,7,25,29,15,0.7586206896551724
Jean_Grey,23,12,24,35,11,0.6571428571428571
Rachel_Summers,16,19,24,35,-3,0.45714285714285713
Quasar_(character),24,3,24,27,21,0.8888888888888888
Cable_(character),21,11,24,32,10,0.65625
Ghost_Rider,13,15,22,28,-2,0.4642857142857143
Blade_(character),17,12,22,29,5,0.5862068965517241
Spider-Woman_(Jessica_Drew),16,11,22,27,5,0.5925925925925926
Eddie_Brock,11,16,22,27,-5,0.4074074074074074
U.S._Agent,6,20,21,26,-14,0.23076923076923078
Nova_(Richard_Rider),16,11,21,27,5,0.5925925925925926
Mockingbird_(Marvel_Comics),13,11,21,24,2,0.5416666666666666
Misty_Knight,15,13,21,28,2,0.5357142857142857
Deathlok,17,5,20,22,12,0.7727272727272727
Man-Thing,15,12,20,27,3,0.5555555555555556
Morbius,9,16,19,25,-7,0.36
Black_Bolt,13,9,18,22,4,0.5909090909090909
Mayday_Parker,14,14,18,28,0,0.5
Noh-Varr,4,18,18,22,-14,0.18181818181818182
Human_Torch,17,5,18,22,12,0.7727272727272727
Shang-Chi,13,11,18,24,2,0.5416666666666666
Jessica_Jones,8,14,18,22,-6,0.36363636363636365
Spider-Woman_(Gwen_Stacy),12,14,18,26,-2,0.46153846153846156
Captain_Universe,6,14,17,20,-8,0.3
Star-Lord,12,10,17,22,2,0.5454545454545454
Captain_Marvel_(Marvel_Comics),9,14,17,23,-5,0.391304347826087
Human_Torch_(android),14,9,17,23,5,0.6086956521739131
Spider-Woman,10,12,17,22,-2,0.45454545454545453
Bill_Foster_(character),9,12,17,21,-3,0.42857142857142855
Northstar_(character),4,14,17,18,-10,0.2222222222222222
Rocket_Raccoon,10,8,16,18,2,0.5555555555555556
Star_Brand,8,11,16,19,-3,0.42105263157894735
War_Machine,12,4,16,16,8,0.75
Anya_Corazon,10,12,16,22,-2,0.45454545454545453
Spider-Bitch_(Ashley_Barton),2,15,16,17,-13,0.11764705882352941
Doctor_Nemesis,7,9,15,16,-2,0.4375
Rom_the_Space_Knight,8,8,15,16,0,0.5
Elsa_Bloodstone,5,12,15,17,-7,0.29411764705882354
Ghost_Rider_(Johnny_Blaze),10,8,15,18,2,0.5555555555555556
Robbie_Baldwin,6,13,15,19,-7,0.3157894736842105
Darkhawk,8,11,15,19,-3,0.42105263157894735
Werewolf_by_Night,7,13,15,20,-6,0.35
Jericho_Drumm,13,7,15,20,6,0.65
Moondragon,11,7,15,18,4,0.6111111111111112
Gwenpool,6,15,15,21,-9,0.2857142857142857
Quicksilver_(Marvel_Comics),10,10,15,20,0,0.5
Jubilee_(character),10,10,15,20,0,0.5
Machine_Man,6,12,14,18,-6,0.3333333333333333
Spider-Girl,5,12,14,17,-7,0.29411764705882354
Franklin_Richards_(character),13,3,14,16,10,0.8125
John_Jameson_(character),9,7,14,16,2,0.5625
Firebird_(Marvel_Comics),2,12,13,14,-10,0.14285714285714285
Solo_(Marvel_Comics),1,12,13,13,-11,0.07692307692307693
Tarantula_(Marvel_Comics),6,9,13,15,-3,0.4
Patsy_Walker,7,10,13,17,-3,0.4117647058823529
Paladin_(comics),5,10,13,15,-5,0.3333333333333333
Hellion_(character),4,11,12,15,-7,0.26666666666666666
Silk_(character),10,4,12,14,6,0.7142857142857143
Bucky_(Marvel_Comics),9,9,12,18,0,0.5
Sentry_(Robert_Reynolds),9,6,12,15,3,0.6
Devil_Dinosaur,4,8,12,12,-4,0.3333333333333333
Ms._Marvel,11,1,11,12,10,0.9166666666666666
Vulcan_(Marvel_Comics),9,8,11,17,1,0.5294117647058824
Wolverine_(Ultimate_Marvel_character),6,8,11,14,-2,0.42857142857142855
Radioactive_Man_(comics),4,8,11,12,-4,0.3333333333333333
Vance_Astrovik,5,8,11,13,-3,0.38461538461538464
Brian_Braddock,1,11,11,12,-10,0.08333333333333333
Frankenstein's_Monster_(Marvel_Comics),2,11,11,13,-9,0.15384615384615385
Hulkling,5,9,11,14,-4,0.35714285714285715
Ghost_Rider_(Danny_Ketch),7,7,10,14,0,0.5
Karnak_(character),4,7,10,11,-3,0.36363636363636365
Shuri_(character),3,9,10,12,-6,0.25
Satana_(Marvel_Comics),4,7,10,11,-3,0.36363636363636365
Sabra_(character),3,9,10,12,-6,0.25
Hyperion_(character),7,6,10,13,1,0.5384615384615384
Gladiator_(Kallark),6,6,10,12,0,0.5
Arabian_Knight_(character),5,8,10,13,-3,0.38461538461538464
Kismet_(Marvel_Comics),3,9,9,12,-6,0.25
Red_Wolf_(comics),1,9,9,10,-8,0.1
Outlaw_(Marvel_Comics),6,5,9,11,1,0.5454545454545454
Puck_(Marvel_Comics),5,8,9,13,-3,0.38461538461538464
Abomination_(character),5,8,9,13,-3,0.38461538461538464
Phyla-Vell,7,8,9,15,-1,0.4666666666666667
Xorn,4,8,9,12,-4,0.3333333333333333
Ares_(Marvel_Comics),5,7,9,12,-2,0.4166666666666667
Blue_Diamond_(character),1,9,9,10,-8,0.1
Doctor_Druid,5,4,9,9,1,0.5555555555555556
Doom_2099,1,9,9,10,-8,0.1
Spider-Man_Noir,7,5,9,12,2,0.5833333333333334
Genis-Vell,7,3,8,10,4,0.7
Spider-UK,2,8,8,10,-6,0.2
Anole_(character),6,6,8,12,0,0.5
Whizzer_(Robert_Frank),6,6,8,12,0,0.5
Blazing_Skull,3,8,8,11,-5,0.2727272727272727
Union_Jack_(Marvel_Comics),8,5,8,13,3,0.6153846153846154
Red_Guardian,5,5,8,10,0,0.5
Kristoff_Vernard,4,4,8,8,0,0.5
Stingray_(Marvel_Comics),1,7,8,8,-6,0.125
Jeffrey_Mace,7,1,8,8,6,0.875
Gargoyle_(comics),5,5,8,10,0,0.5
Shamrock_(comics),0,8,8,8,-8,0.0
Guardsman_(character),4,7,8,11,-3,0.36363636363636365
Scarlet_Spider,8,3,8,11,5,0.7272727272727273
Killraven,2,5,7,7,-3,0.2857142857142857
Speed_(character),3,6,7,9,-3,0.3333333333333333
"Bob,_Agent_of_Hydra",2,7,7,9,-5,0.2222222222222222
Garrison_Kane,1,6,7,7,-5,0.14285714285714285
Fin_Fang_Foom,5,2,7,7,3,0.7142857142857143
Delroy_Garrett,5,3,7,8,2,0.625
Jack_Frost_(Marvel_Comics),1,7,7,8,-6,0.125
Isaiah_Bradley,0,7,7,7,-7,0.0
Union_Jack_(Joseph_Chapman),6,6,7,12,0,0.5
Rockslide_(character),3,6,7,9,-3,0.3333333333333333
Mania_(character),1,7,7,8,-6,0.125
Ronin_(Marvel_Comics),4,5,7,9,-1,0.4444444444444444
Beta_Ray_Bill,2,5,7,7,-3,0.2857142857142857
Toro_(character),4,4,7,8,0,0.5
Doctor_Spectrum,2,6,7,8,-4,0.25
Guardian_(Marvel_Comics),6,4,7,10,2,0.6
Yelena_Belova,2,6,7,8,-4,0.25
Black_Knight_(Marvel_Comics),4,3,7,7,1,0.5714285714285714
Makkari_(character),5,1,6,6,4,0.8333333333333334
Living_Lightning,3,5,6,8,-2,0.375
Ricochet_(comics),2,4,6,6,-2,0.3333333333333333
Dusk_(comics),2,6,6,8,-4,0.25
Two-Gun_Kid,4,4,6,8,0,0.5
Vindicator_(comics),5,4,6,9,1,0.5555555555555556
She-Hulk_(Lyra),2,6,6,8,-4,0.25
Leech_(character),2,4,6,6,-2,0.3333333333333333
Black_Marvel,5,2,6,7,3,0.7142857142857143
Radian_(Morituri),4,6,6,10,-2,0.4
Nomad_(Marvel_Comics),5,4,6,9,1,0.5555555555555556
Gauntlet_(Joseph_Green),3,3,6,6,0,0.5
Rikki_Barnes,3,6,6,9,-3,0.3333333333333333
Chase_Stein,4,4,6,8,0,0.5
Frog-Man,2,6,6,8,-4,0.25
Justice_(New_Universe),2,5,6,7,-3,0.2857142857142857
Iron_Lad,2,4,6,6,-2,0.3333333333333333
Spitfire_(character),5,5,6,10,0,0.5
Starhawk_(character),2,5,6,7,-3,0.2857142857142857
Iron_Man_2020,4,3,6,7,1,0.5714285714285714
Hornet_(comics),4,4,6,8,0,0.5
Ch'od,4,3,6,7,1,0.5714285714285714
Shatterstar,3,3,5,6,0,0.5
Anne_Weying,3,4,5,7,-1,0.42857142857142855
Human_Fly_(character),0,5,5,5,-5,0.0
Hybrid_(Scott_Washington),2,5,5,7,-3,0.2857142857142857
William_Burnside_(character),3,4,5,7,-1,0.42857142857142855
Ikaris,2,3,5,5,-1,0.4
Phil_Urich,5,3,5,8,2,0.625
White_Tiger_(comics),2,5,5,7,-3,0.2857142857142857
Agent_X_(Marvel_Comics),4,3,5,7,1,0.5714285714285714
Nightmask,5,3,5,8,2,0.625
Iron_Man_(Ultimate_Marvel_character),1,5,5,6,-4,0.16666666666666666
Debrii,1,5,5,6,-4,0.16666666666666666
Janice_Lincoln,1,4,5,5,-3,0.2
Jean_Grey_(X-Men_film_series),1,5,5,6,-4,0.16666666666666666
Turbo_(comics),3,3,5,6,0,0.5
Gorgon_(Inhuman),5,1,5,6,4,0.8333333333333334
Surge_(Marvel_Comics),3,2,5,5,1,0.6
Red_Raven_(Marvel_Comics),2,3,5,5,-1,0.4
Raza_Longknife,2,5,5,7,-3,0.2857142857142857
Blue_Marvel,2,4,5,6,-2,0.3333333333333333
Empath_(character),4,3,5,7,1,0.5714285714285714
Rusty_Collins,2,3,4,5,-1,0.4
Thor_Girl,3,2,4,5,1,0.6
Steel_Spider,2,3,4,5,-1,0.4
Ursa_Major_(character),0,4,4,4,-4,0.0
Powerhouse_(Marvel_Comics),1,4,4,5,-3,0.2
Typeface_(character),1,3,4,4,-2,0.25
Thin_Man_(character),3,1,4,4,2,0.75
Ravage_2099,3,2,4,5,1,0.6
